Update 0: {'0': 0, '1': 0, '2': 0}
Update 303: {'0': -6.681235662322742, '1': -9.189628053221659, '2': -11.096565763031432}
Update 304: {'0': -6.681237261566497, '1': -9.189629652465413, '2': -11.096567362275188}
Update 305: {'0': -6.6812387968405, '1': -9.189631187739419, '2': -11.096568897549192}
Update 306: {'0': -6.681240270703546, '1': -9.189632661602463, '2': -11.096570371412238}
Update 307: {'0': -6.681241685612068, '1': -9.189634076510988, '2': -11.09657178632076}
Update 308: {'0': -6.681243043924251, '1': -9.18963543482317, '2': -11.096573144632941}
Update 309: {'0': -6.681244347903947, '1': -9.189636738802864, '2': -11.096574448612637}
Update 310: {'0': -6.681245599724454, '1': -9.189637990623371, '2': -11.096575700433146}
Update 311: {'0': -6.68124680147214, '1': -9.189639192371057, '2': -11.096576902180832}
Update 312: {'0': -6.681247955149919, '1': -9.189640346048838, '2': -11.096578055858611}
Update 313: {'0': -6.681249062680589, '1': -9.189641453579506, '2': -11.09657916338928}
Update 314: {'0': -6.681250125910029, '1': -9.189642516808949, '2': -11.09658022661872}
Update 315: {'0': -6.681251146610295, '1': -9.189643537509212, '2': -11.096581247318984}
Update 316: {'0': -6.681252126482548, '1': -9.189644517381467, '2': -11.096582227191238}
